"x","y"
"1",1,0
"2",2,1.02193922642508e-278
"3",3,2.15530020472655e-304
"4",4,5.03884157380926e-286
"5",5,9.15546801898346e-284
"6",6,1.79717544669678e-316
"7",7,1.08694442085074e-322
"8",8,1.94465467765775e-289
"9",9,3.9270372454333e-297
"10",10,7.45691643654496e-254
"11",11,8.75154728261001e-281
"12",12,9.44398781479607e-286
"13",13,4.63231436223272e-272
"14",14,1.8594610734331e-280
"15",15,5.73190483071808e-274
"16",16,2.35164836603346e-285
"17",17,3.01014814870933e-278
"18",18,6.01329131457945e-286
"19",19,6.54951589950566e-253
"20",20,1.062253002858e-286
"21",21,9.54370452306854e-262
"22",22,3.11094415487876e-282
"23",23,2.1947301158259e-275
"24",24,6.19071573492275e-283
"25",25,3.42548896753749e-258
"26",26,6.70635365095508e-253
"27",27,1.19363482210617e-279
"28",28,5.77522181584032e-235
"29",29,1.55108842445122e-302
"30",30,1.94839240352696e-279
"31",31,1.11451366758019e-270
"32",32,3.47630185715728e-278
"33",33,4.37705910201304e-269
"34",34,1.09652208749862e-287
"35",35,3.35315219568428e-233
"36",36,6.90980049581168e-268
"37",37,3.89680036600794e-258
"38",38,7.15523520272788e-276
"39",39,5.87663320859463e-277
"40",40,2.42336821269114e-223
"41",41,5.23365836334716e-234
"42",42,1.50773477941986e-236
"43",43,1.39515150093375e-247
"44",44,3.15347770314546e-241
"45",45,2.39344132248111e-234
"46",46,1.01259612435835e-247
"47",47,9.07872796897324e-258
"48",48,1.76339913353678e-261
"49",49,6.89715626612359e-225
"50",50,2.22356646268073e-236
"51",51,3.97142633361649e-241
"52",52,7.95155571706935e-227
"53",53,1.25267030934657e-244
"54",54,2.40098241991434e-244
"55",55,8.33194545406738e-251
"56",56,1.61447299465333e-248
"57",57,8.42632217364614e-214
"58",58,1.31622027741834e-211
"59",59,3.01807934067734e-237
"60",60,7.26169845469284e-227
"61",61,8.70111554070268e-245
"62",62,1.3865697622695e-224
"63",63,7.27220940260251e-226
"64",64,1.18982574331068e-248
"65",65,6.48996264157028e-234
"66",66,6.78824677364339e-222
"67",67,7.29292300250696e-218
"68",68,1.09625587879248e-209
"69",69,1.37863999841338e-259
"70",70,1.41438299222151e-229
"71",71,3.35473250905211e-234
"72",72,1.05906170260424e-190
"73",73,8.80325184652798e-221
"74",74,1.02761796629936e-234
"75",75,8.08832085079862e-203
"76",76,5.56854200929369e-216
"77",77,4.10890263690317e-211
"78",78,5.79271232231122e-233
"79",79,8.68662345375275e-223
"80",80,3.10713533998814e-235
"81",81,5.33821241178728e-224
"82",82,7.60537424565395e-187
"83",83,1.07115688483201e-233
"84",84,2.18523884377196e-210
"85",85,1.01060120024176e-221
"86",86,2.31669737565757e-195
"87",87,4.1678147704225e-236
"88",88,3.33454725611891e-229
"89",89,9.7770789209316e-192
"90",90,2.93076209296435e-210
"91",91,6.59459165556009e-210
"92",92,4.60155575521441e-201
"93",93,5.10423667495489e-196
"94",94,1.16747514654109e-206
"95",95,3.28826787313328e-209
"96",96,6.81665950064174e-199
"97",97,4.78041166902879e-197
"98",98,1.02796580686227e-186
"99",99,2.07914399979956e-188
"100",100,6.1796256706263e-188
"101",101,1.55040796608297e-154
"102",102,9.76548471499243e-173
"103",103,6.34275146781643e-199
